probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.974429,1092,604968,0,0,0.279767,3903.250878
0.974429,1102,610508,0,0,0.280196,3932.955201
0.974429,1112,616048,0,0,0.280389,3965.91778
0.974429,1122,621588,0,0,0.281418,3986.957344
0.974429,1132,627128,0,0,0.281735,4017.957547
0.974429,1142,632668,0,0,0.283261,4031.620013
0.974429,1152,638208,0,0,0.284476,4049.553552
0.974429,1162,643748,0,0,0.284559,4083.511515
0.974429,1172,649288,0,0,0.28726,4079.933575
0.974429,1182,654828,0,0,0.28791,4105.44304
0.974429,1192,660368,0,0,0.287994,4138.973014
0.974429,1202,665908,0,0,0.292747,4105.940873
0.974429,1212,671448,0,0,0.292755,4139.975363
0.974429,1222,676988,0,0,0.293192,4167.911773
0.974429,1232,682528,0,0,0.293202,4201.875561
0.974429,1242,688068,0,0,0.293212,4235.847363
0.974429,1252,693608,0,0,0.29751,4208.266571
0.974429,1262,699148,0,0,0.297593,4240.692879
0.974429,1272,704688,0,0,0.298161,4266.147671
0.974429,1282,710228,0,0,0.298171,4299.552484
0.974429,1292,715768,0,0,0.29818,4332.955213
0.974429,1302,721308,0,0,0.298607,4360.240974
0.974429,1312,726848,0,0,0.298616,4393.606988
0.974429,1322,732388,0,0,0.354238,3731.95136
0.974429,1332,737928,0,0,0.35425,3760.054413
0.974429,1342,743468,0,0,0.35426,3788.181068
0.974429,1352,749008,0,0,0.354699,3811.683695
0.974429,1362,754548,0,0,0.359408,3789.563584
0.974429,1372,760088,0,0,0.359922,3811.940274
0.974429,1382,765628,0,0,0.359931,3839.624901
0.974429,1392,771168,0,0,0.359941,3867.305536
0.974429,1402,776708,0,0,0.360367,3890.477673
0.974429,1412,782248,0,0,0.360376,3918.131245
0.974429,1422,787788,0,0,0.360802,3941.215337
0.974429,1432,793328,0,0,0.36153,3960.948273
0.974429,1442,798868,0,0,0.362326,3979.837145
0.974429,1452,804408,0,0,0.363129,3998.580113
0.974429,1462,809948,0,0,0.363649,4020.356221
0.974429,1472,815488,0,0,0.364727,4035.900393
0.974429,1482,821028,0,0,0.365902,4050.265411
