probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.730328,1203,666462,0,0,0.310579,3873.41581
0.730328,1213,672002,0,0,0.310591,3905.457881
0.730328,1223,677542,0,0,0.311233,3929.537363
0.730328,1233,683082,0,0,0.321979,3829.441747
0.730328,1243,688622,0,0,0.322561,3853.537223
0.730328,1253,694162,0,0,0.323475,3873.564797
0.730328,1263,699702,0,0,0.324271,3894.893685
0.730328,1273,705242,0,0,0.325437,3911.6597
0.730328,1283,710782,0,0,0.325943,3936.271148
0.730328,1297,718538,0,0,0.342295,3789.132658
0.730328,1305,722970,0,0,0.342521,3809.988557
0.730328,1315,728510,0,0,0.343161,3832.016691
0.730328,1325,734050,0,0,0.343521,3857.113668
0.730328,1335,739590,0,0,0.344174,3878.847636
0.730328,1345,745130,0,0,0.345285,3895.333531
0.730328,1355,750670,0,0,0.345823,3918.188801
0.730328,1365,756210,0,0,0.34746,3928.512096
0.730328,1375,761750,0,0,0.348436,3946.209402
0.730328,1385,767290,0,0,0.349409,3963.834905
0.730328,1404,777816,0,0,0.396718,3539.035453
0.730328,1414,783356,0,0,0.39737,3558.397696
0.730328,1424,788896,0,0,0.397382,3583.449216
0.730328,1434,794436,0,0,0.398107,3602.046217
0.730328,1444,799976,0,0,0.399562,3613.956194
0.730328,1454,805516,0,0,0.400378,3631.570432
0.730328,1464,811056,0,0,0.401843,3643.21541
0.730328,1474,816596,0,0,0.402026,3666.427925
0.730328,1484,822136,0,0,0.402761,3684.571797
0.730328,1494,827676,0,0,0.403547,3702.168366
0.730328,1504,833216,0,0,0.404011,3722.673012
0.730328,1514,838756,0,0,0.405181,3736.597905
0.730328,1524,844296,0,0,0.405674,3756.711232
0.730328,1534,849836,0,0,0.411996,3723.340289
0.730328,1544,855376,0,0,0.412634,3741.8114
0.730328,1554,860916,0,0,0.412647,3765.928429
0.730328,1564,866456,0,0,0.413289,3784.274037
0.730328,1574,871996,0,0,0.416954,3774.994237
0.730328,1584,877536,0,0,0.418299,3786.763176
0.730328,1594,883076,0,0,0.418312,3810.550054
0.730328,1604,888616,0,0,0.423375,3788.60659
0.730328,1614,894156,0,0,0.530699,3041.269166
0.730328,1624,899696,0,0,0.530713,3060.036611
0.730328,1634,905236,0,0,0.531403,3074.881525
0.730328,1648,912992,0,0,0.578438,2849.051888
0.730328,1658,918532,0,0,0.579114,2862.994356
0.730328,1668,924072,0,0,0.579586,2877.918529
0.730328,1678,929612,0,0,0.580893,2888.658088
0.730328,1688,935152,0,0,0.581596,2902.358849
0.730328,1698,940692,0,0,0.582414,2915.451143
0.730328,1708,946232,0,0,0.583292,2928.207447
0.730328,1718,951772,0,0,0.584018,2941.692595
0.730328,1728,957312,0,0,0.585371,2951.971555
